Tiempo s Carga,Voltaje V Carga,,Tiempo s Descarga,Voltaje V Descarga
0.1,1.97,,0.01,1.47
0.5,1.95,,1.05,1.45
1,1.93,,2.18,1.4
2,1.88,,4.18,1.35
3.14,1.83,,6.03,1.3
4.26,1.77,,8.03,1.25
6.1,1.71,,9.21,1.2
7.18,1.65,,11.15,1.15
9.06,1.6,,13.14,1.1
10.24,1.54,,15.25,1.05
12.11,1.49,,17.24,1
13.22,1.44,,20.07,0.95
15.22,1.38,,22.25,0.9
17.23,1.32,,25.23,0.85
20.06,1.26,,28.18,0.8
22.04,1.2,,31.15,0.75
23.23,1.16,,33.29,0.7
26.03,1.11,,35.26,0.65
28.27,1.05,,39.07,0.6
31.1,1,,43.04,0.55
33.27,0.95,,47.2,0.5
35.3,0.9,,52.17,0.45
39.01,0.85,,57.29,0.4
41.16,0.8,,64.03,0.35
44.26,0.75,,68.11,0.32
47.23,0.7,,70.24,0.3
51.19,0.65,,78.3,0.25
55.01,0.6,,85.19,0.22
59.05,0.55,,88.3,0.2
63.12,0.5,,93.13,0.18
